,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
<<<<<<< HEAD
accuracy,0.8972164988517761,0.7610107064247131,0.7748527526855469,0.8094830513000488,0.9800674319267273,0.9320481419563293,0.8456233739852905,0.8000200986862183,0.8913776278495789,0.8896159529685974,0.9613932371139526,0.8269491791725159,0.873961865901947,0.9409070014953613,0.9523833394050598,0.9779533743858337,0.9471988677978516,0.9671314358711243,0.8682236671447754,0.8496501445770264,0.9112598896026611,0.9499672651290894,0.9249005913734436,0.9254542589187622,0.7357929944992065,0.9569134712219238,0.7165148258209229,0.9275683164596558,0.9329038262367249,0.9455881714820862,0.9029043316841125,0.8121004700660706,0.8272008895874023,0.8485931158065796,0.9837418794631958,0.8716464638710022,0.879397988319397,0.9486082196235657,0.8339457511901855
equality_gap_0,0.046267807483673096,0.08954006433486938,0.2492830753326416,0.08064955472946167,0.000372469425201416,0.018425822257995605,0.02382117509841919,0.11402106285095215,0.0025646090507507324,0.008578360080718994,0.0065070390701293945,0.02739185094833374,0.035074055194854736,0.0012786388397216797,0.001582026481628418,0.000870823860168457,0.04709559679031372,0.007964372634887695,0.19321095943450928,0.073150634765625,0.0076094865798950195,0.008048295974731445,0.0,0.6755757927894592,0.023583948612213135,0.0,0.016643166542053223,0.0025498270988464355,0.0015871524810791016,0.02304023504257202,0.019507229328155518,0.008629381656646729,0.07060420513153076,0.012480199337005615,0.0034928321838378906,0.27256250381469727,0.0,0.0065574049949646,0.115589439868927
equality_gap_1,0.2513871192932129,0.1959611177444458,0.29354220628738403,0.18828019499778748,0.0445544570684433,0.24419015645980835,0.053795501589775085,0.2325170934200287,0.10784673690795898,0.17908187210559845,0.02875363826751709,0.007500320672988892,0.2300795316696167,0.0668821930885315,0.013419851660728455,0.11861598491668701,0.5095628499984741,0.0201682448387146,0.77137690782547,0.029584884643554688,0.05154001712799072,0.06879361718893051,0.0,0.036499857902526855,0.1468847393989563,0.0,0.03380412235856056,0.044192440807819366,0.0308734942227602,0.3299195170402527,0.014440834522247314,0.08104430139064789,0.09571343660354614,0.24151046574115753,0.16972827911376953,0.5641283392906189,0.0,0.3243243098258972,0.013801336288452148
parity_gap,0.10304059088230133,0.13774718344211578,0.4336073398590088,0.13754460215568542,0.0024828563909977674,0.1164790615439415,0.032994966953992844,0.22652913630008698,0.07642041146755219,0.09045033156871796,0.011418577283620834,0.06897490471601486,0.08993738889694214,0.009978380054235458,0.012326871044933796,0.08785881847143173,0.1271291822195053,0.03823203593492508,0.5782496333122253,0.13522526621818542,0.09032386541366577,0.015251833014190197,0.0,0.29849153757095337,0.06685343384742737,0.0,0.023139625787734985,0.007240761071443558,0.0049960557371377945,0.0726245790719986,0.10268467664718628,0.011286657303571701,0.233382910490036,0.08615186810493469,0.05084232613444328,0.6826536655426025,0.0,0.06077086925506592,0.13574844598770142
=======
accuracy,0.8959581255912781,0.7930739521980286,0.7839633226394653,0.8141138553619385,0.9799164533615112,0.9406553506851196,0.8403382301330566,0.8002718091011047,0.8982231616973877,0.9393969774246216,0.9597322344779968,0.8406906127929688,0.87204909324646,0.9427694082260132,0.9556550979614258,0.9829365015029907,0.9480545520782471,0.9653193950653076,0.8750692009925842,0.8589621186256409,0.9080888032913208,0.9501183032989502,0.9249005913734436,0.916545033454895,0.740574836730957,0.9569134712219238,0.7222529649734497,0.9290280342102051,0.9341621994972229,0.956762433052063,0.9131726026535034,0.8236271142959595,0.8334423899650574,0.8604217767715454,0.9867116212844849,0.8708410859107971,0.8796496391296387,0.9318467974662781,0.8425529599189758
equality_gap_0,0.03352409601211548,0.2632874846458435,0.3192630112171173,0.027198731899261475,0.00012415647506713867,0.0006552338600158691,0.03847914934158325,0.07578438520431519,0.0016168951988220215,0.03280574083328247,0.005034148693084717,0.037315547466278076,0.023691296577453613,0.008103728294372559,0.007057785987854004,0.0011919736862182617,0.03074061870574951,0.01418215036392212,0.3671504855155945,0.0273512601852417,0.020838558673858643,0.00871896743774414,0.0,0.4952848255634308,0.06764006614685059,0.0,0.1512085199356079,0.008382678031921387,0.010415613651275635,0.022986888885498047,0.0016537308692932129,0.00882190465927124,0.1445678472518921,0.044280946254730225,0.006830036640167236,0.4234978258609772,0.0006551742553710938,0.00185316801071167,0.2138063609600067
equality_gap_1,0.2061459720134735,0.5761628746986389,0.18910449743270874,0.11679396033287048,0.03217821940779686,0.019300222396850586,0.05709249526262283,0.26830312609672546,0.10922896862030029,0.6176252365112305,0.047097206115722656,0.07839614152908325,0.18451103568077087,0.12475696206092834,0.15725870430469513,0.007873117923736572,0.4419398903846741,0.152053564786911,0.3595826029777527,0.07712745666503906,0.018431484699249268,0.07676968723535538,0.0,0.029332220554351807,0.23073738813400269,0.0,0.27671465277671814,0.08985768258571625,0.11671686917543411,0.4908559024333954,0.020685255527496338,0.14397062361240387,0.17423808574676514,0.39146971702575684,0.13197243213653564,0.3616192936897278,0.004886717069894075,0.07068607211112976,0.004788994789123535
parity_gap,0.08134310692548752,0.3971792161464691,0.42737892270088196,0.07411317527294159,0.001655237632803619,0.08830438554286957,0.0360475592315197,0.18734019994735718,0.07595857977867126,0.21505410969257355,0.010113701224327087,0.10577689111232758,0.06831936538219452,0.02332213893532753,0.023768577724695206,0.08771819621324539,0.10191534459590912,0.047480322420597076,0.7118738889694214,0.18410632014274597,0.06749269366264343,0.016788838431239128,0.0,0.25713878870010376,0.12336414307355881,0.0,0.20029662549495697,0.017571669071912766,0.02278902567923069,0.09860487282276154,0.11770367622375488,0.01734776422381401,0.32444897294044495,0.15470218658447266,0.057377785444259644,0.7582319378852844,0.0014900517417117953,0.013596595264971256,0.14791017770767212
